customer_id,card_age_months,avg_monthly_transactions,avg_transaction_amount,months_since_last_transaction,transaction_trend,unique_merchant_count,international_usage,complaint_count,churned
1001,52,10.0,53.0,0,0.705,12,0,0,0
1002,15,14.0,122.5,3,0.818,3,0,0,0
1003,61,21.0,116.2,0,-0.886,16,0,0,0
1004,21,18.0,108.82,1,-0.863,4,0,0,0
1005,24,16.0,47.77,0,0.553,24,0,0,0
1006,3,17.0,63.34,1,0.392,5,0,0,0
1007,22,9.0,89.64,2,-0.566,15,0,0,0
1008,53,15.0,5.77,0,-0.358,21,1,0,0
1009,2,13.0,21.45,1,0.222,24,0,0,0
1010,30,12.0,11.11,2,0.578,8,1,0,0
1011,38,14.0,42.98,1,0.206,22,0,0,0
1012,2,17.0,109.09,0,0.584,20,0,0,0
1013,64,14.0,15.74,1,-0.543,10,0,0,0
1014,60,14.0,78.76,0,-0.338,1,0,0,0
1015,21,15.0,31.23,2,-0.797,10,0,0,0
1016,33,22.0,140.03,0,0.97,18,0,1,0
1017,58,17.0,59.14,0,0.618,17,1,0,0
1018,22,18.0,225.18,0,0.432,4,0,0,0
1019,49,8.9,7.85,4,-0.61,22,0,1,1
1020,59,14.2,73.17,4,0.397,13,0,0,1
1021,42,20.0,26.5,5,0.725,22,0,0,0
1022,60,15.0,58.37,1,0.621,6,0,1,0
1023,15,5.8,8.39,3,0.509,1,0,1,1
1024,62,17.0,85.57,1,-0.226,1,0,1,0
1025,62,14.0,229.69,0,0.534,3,0,0,0
1026,47,16.0,92.91,3,-0.031,5,0,0,0
1027,62,19.0,57.4,2,-0.191,18,0,2,0
1028,51,13.0,35.68,2,0.93,12,0,1,0
1029,55,4.2,11.77,4,-0.707,1,0,0,1
1030,64,6.6,23.2,4,0.729,9,1,1,1
1031,3,14.0,23.88,0,-0.356,17,0,0,0
1032,51,19.0,107.28,0,0.033,13,0,0,0
1033,7,18.0,134.16,1,-0.274,14,1,1,0
1034,21,10.0,179.33,0,0.006,11,0,1,0
1035,39,11.0,32.51,5,0.637,11,0,1,0
1036,18,11.8,19.34,6,-0.634,4,1,0,1
1037,4,14.0,51.61,1,0.51,9,0,1,0
1038,60,12.0,63.18,2,-0.108,18,0,0,0
1039,14,19.0,0.15,0,0.87,19,0,0,0
1040,9,8.6,80.99,3,0.094,4,0,0,1
1041,53,7.5,9.31,4,-0.917,12,1,0,1
1042,2,12.0,38.34,0,0.82,18,1,0,0
1043,60,14.0,110.55,0,0.849,18,0,0,0
1044,71,18.0,345.74,0,-0.64,6,1,1,0
1045,44,12.0,95.05,2,0.945,11,0,0,0
1046,8,17.0,1.51,0,-0.108,5,0,0,0
1047,47,12.0,27.6,0,0.829,16,0,0,0
1048,35,19.0,17.04,0,-0.272,11,1,0,0
1049,36,19.0,199.67,1,-0.955,5,0,0,0
1050,50,23.0,18.41,6,0.59,9,1,0,0
1051,4,16.0,172.25,2,0.772,23,0,0,0
1052,2,11.0,166.37,1,-0.674,11,0,0,0
1053,6,14.0,109.73,0,0.108,15,1,0,0
1054,54,19.0,6.19,1,0.663,17,0,0,0
1055,4,17.0,0.12,0,-0.077,18,0,0,0
1056,54,17.0,94.76,0,0.577,21,0,0,0
1057,63,13.0,111.2,0,0.276,14,0,0,0
1058,18,16.0,196.5,0,0.441,7,0,0,0
1059,44,22.0,14.78,0,0.838,24,0,0,0
1060,34,11.0,79.26,1,-0.166,23,0,0,0
1061,62,12.0,43.92,0,0.542,16,0,0,0
1062,14,13.0,23.89,1,0.425,9,0,1,0
1063,48,12.0,55.93,2,-0.122,3,1,0,0
1064,15,16.0,47.67,0,-0.238,21,0,0,0
1065,62,15.0,20.74,2,0.763,16,1,0,0
1066,40,14.6,8.92,5,-0.591,22,0,1,1
1067,53,6.0,40.0,0,-0.363,7,0,0,0
1068,24,11.0,38.55,1,0.949,7,1,0,0
1069,26,17.0,21.58,0,-0.445,20,0,0,0
1070,60,19.0,18.37,0,0.745,1,0,1,0
1071,41,16.0,185.15,0,-0.257,8,0,0,0
1072,29,15.0,118.99,0,0.102,1,0,1,0
1073,15,19.0,101.82,2,-0.203,12,0,0,0
1074,45,10.0,14.47,0,-0.557,17,0,0,0
1075,65,14.0,12.59,1,0.382,10,0,0,0
1076,71,10.0,99.43,2,0.933,19,0,0,0
1077,9,5.5,7.99,6,0.786,9,0,0,1
1078,1,10.0,42.01,1,0.971,10,0,0,0
1079,8,22.0,15.02,0,0.382,11,0,0,0
1080,63,12.0,28.5,1,-0.931,10,0,0,0
1081,11,19.0,115.23,1,0.108,17,0,0,0
1082,8,7.8,99.77,4,0.245,7,0,0,1
1083,35,13.0,342.45,1,-0.76,5,1,0,0
1084,35,12.0,172.84,1,0.657,20,0,0,0
1085,33,17.0,66.75,1,0.46,12,0,0,0
1086,5,14.0,33.91,0,-0.103,5,0,0,0
1087,41,19.0,3.57,1,-0.416,1,0,0,0
1088,28,15.0,56.22,2,-0.556,10,0,0,0
1089,7,14.0,14.2,0,0.929,7,1,0,0
1090,12,10.0,113.88,1,0.604,12,0,0,0
1091,34,18.0,47.76,0,0.387,2,1,0,0
1092,33,10.0,79.34,3,0.897,9,1,0,0
1093,48,7.0,46.11,5,-0.593,5,1,0,1
1094,23,14.0,25.6,2,0.715,5,0,0,0
1095,62,19.0,85.4,2,0.167,14,0,0,0
1096,37,3.8,69.44,5,0.866,19,0,0,1
1097,44,14.0,81.79,0,0.321,18,0,1,0
1098,35,12.0,89.98,0,0.483,8,0,0,0
1099,65,19.0,26.78,0,-0.555,3,1,1,0
1100,47,18.0,172.61,0,-0.31,14,0,0,0
1101,3,7.5,16.44,5,-0.395,11,1,0,1
1102,1,14.0,136.41,0,0.388,8,0,0,0
1103,5,11.0,117.04,1,-0.178,22,0,0,0
1104,14,19.0,7.97,0,0.72,12,0,0,0
1105,27,24.0,203.36,0,-0.575,11,0,0,0
1106,9,11.0,336.65,0,0.591,9,0,0,0
1107,15,18.0,55.91,0,0.626,4,0,1,0
1108,42,21.0,91.7,0,0.256,19,1,0,0
1109,51,10.6,91.73,5,-0.703,7,0,0,1
1110,63,17.0,1.21,0,-0.347,17,0,0,0
1111,52,15.0,159.55,0,-0.205,16,1,1,0
1112,4,15.0,59.23,2,-0.069,19,0,0,0
1113,23,14.0,105.78,0,0.474,23,0,1,0
1114,15,8.1,34.69,3,-0.323,12,0,0,1
1115,43,6.9,32.64,3,-0.964,7,0,0,1
1116,29,12.0,136.68,6,0.732,14,0,1,0
1117,36,7.0,42.49,3,-0.135,11,1,0,0
1118,13,18.0,38.3,0,-0.434,11,0,0,0
1119,32,20.0,56.22,1,0.638,7,0,0,0
1120,71,12.0,43.86,1,0.758,11,1,0,0
1121,59,18.0,35.47,1,0.462,3,0,0,0
1122,28,21.0,11.95,0,-0.291,15,0,0,0
1123,66,15.0,30.39,0,-0.538,3,0,0,0
1124,42,23.0,19.88,2,0.426,21,0,0,0
1125,45,12.0,30.7,0,-0.885,9,0,0,0
1126,62,14.0,53.96,0,-0.218,17,0,0,0
1127,57,13.0,56.32,0,0.518,17,0,0,0
1128,6,21.0,16.36,2,0.17,12,1,0,0
1129,28,10.0,5.3,3,0.468,7,0,1,0
1130,28,18.0,81.86,1,0.146,11,0,0,0
1131,44,8.7,22.05,3,-0.521,14,0,0,1
1132,30,13.0,35.01,0,-0.034,20,0,0,0
1133,62,20.0,8.33,0,0.546,1,1,2,0
1134,62,14.0,32.13,0,-0.539,6,0,0,0
1135,1,16.0,102.28,1,0.926,22,1,0,0
1136,27,8.1,39.23,4,-0.594,21,0,0,1
1137,62,14.0,5.72,0,-0.972,17,0,1,0
1138,3,12.0,24.23,1,0.556,9,0,0,0
1139,70,12.0,234.13,2,0.857,1,0,0,0
1140,27,15.0,47.18,2,-0.507,12,0,1,0
1141,9,11.0,20.25,0,-0.69,20,0,2,0
1142,62,11.0,146.82,0,-0.552,17,0,0,0
1143,37,15.0,24.57,0,0.256,4,1,0,0
1144,51,6.0,78.54,0,0.158,23,1,0,0
1145,44,12.0,9.56,2,0.243,8,1,0,0
1146,24,14.0,10.21,0,-0.985,19,0,0,0
1147,59,20.0,49.44,2,-0.686,19,1,0,0
1148,32,18.0,16.45,0,-0.514,5,0,0,0
1149,52,16.0,3.04,0,0.394,11,0,0,0
1150,62,22.0,156.6,2,0.217,6,0,0,0
1151,58,16.0,3.46,1,0.248,13,0,0,0
1152,52,20.0,75.83,0,0.141,19,0,0,0
1153,12,7.4,12.05,4,0.489,6,0,0,1
1154,39,8.0,162.64,0,0.883,23,0,0,0
1155,2,18.0,256.35,1,0.347,13,0,0,0
1156,3,17.0,24.52,0,0.49,6,1,0,0
1157,56,18.0,53.66,0,0.216,16,1,0,0
1158,59,4.2,70.56,5,0.595,22,0,2,1
1159,2,9.3,5.51,4,0.886,18,0,1,1
1160,2,19.0,74.16,0,0.21,11,0,0,0
1161,54,9.1,97.04,4,-0.638,20,0,0,1
1162,1,9.0,11.8,0,0.541,17,0,1,0
1163,19,7.0,109.47,3,0.302,10,1,1,0
1164,2,9.0,7.37,2,0.867,16,0,0,0
1165,53,7.0,50.4,0,-0.456,5,0,0,0
1166,44,13.0,24.87,4,0.94,10,0,0,0
1167,32,17.0,38.29,0,0.104,3,1,0,0
1168,70,16.0,21.45,0,0.928,19,0,0,0
1169,32,16.0,18.11,0,0.568,4,0,0,0
1170,68,13.0,81.55,5,0.732,12,0,0,0
1171,55,16.0,15.15,2,-0.352,22,1,0,0
1172,56,10.0,31.5,0,-0.561,10,0,0,0
1173,17,14.0,19.26,0,0.248,11,0,0,0
1174,38,18.0,16.36,0,-0.251,8,0,1,0
1175,24,27.0,59.19,0,0.972,12,0,0,0
1176,69,16.0,2.79,0,-0.009,14,0,0,0
1177,70,10.0,93.33,0,-0.779,21,1,0,0
1178,11,12.0,47.41,0,-0.002,22,0,0,0
1179,16,13.0,105.77,0,0.07,3,0,0,0
1180,59,17.0,14.37,1,-0.991,11,1,0,0
1181,70,8.0,74.15,0,-0.509,7,0,0,0
1182,3,5.5,20.74,3,-0.997,15,0,0,1
1183,20,14.0,4.79,0,0.122,11,0,0,0
1184,59,18.0,83.77,1,-0.416,7,0,1,0
1185,36,12.0,86.18,1,-0.654,19,0,1,0
1186,19,13.0,18.96,0,0.677,16,0,0,0
1187,67,3.9,110.34,4,-0.94,21,0,1,1
1188,19,13.0,86.63,0,0.383,19,0,0,0
1189,20,17.0,21.98,0,0.146,13,1,0,0
1190,71,2.9,12.35,4,0.543,21,1,0,1
1191,52,7.1,17.46,3,-0.735,17,1,0,1
1192,33,10.0,20.79,2,0.743,14,0,0,0
1193,40,18.0,14.68,0,-0.357,23,0,0,0
1194,39,8.0,30.56,0,-0.983,2,0,0,0
1195,1,14.0,1.56,1,0.313,22,0,0,0
1196,11,17.0,30.79,0,0.719,10,0,0,0
1197,57,17.0,15.04,0,-0.293,6,0,1,0
1198,50,19.0,18.42,2,0.055,16,0,0,0
1199,23,16.0,5.17,1,-0.175,7,1,0,0
1200,31,8.0,53.34,2,-0.915,19,0,0,0
1201,42,16.0,38.32,4,0.506,24,0,0,0
1202,7,11.0,83.33,5,0.883,21,1,0,0
1203,16,10.0,261.03,0,-0.16,10,0,0,0
1204,60,19.0,7.64,0,-0.711,20,0,0,0
1205,2,12.0,19.08,3,0.01,15,0,1,0
1206,1,12.0,68.83,0,0.81,12,0,1,0
1207,48,12.0,16.25,0,0.212,9,0,1,0
1208,12,12.0,1.84,1,-0.575,18,1,0,0
1209,69,11.0,6.98,2,0.106,17,1,0,0
1210,37,10.0,34.11,1,-0.346,19,0,1,0
1211,32,11.0,33.81,0,-0.953,10,1,1,0
1212,9,16.0,215.19,4,0.827,8,0,0,0
1213,19,8.0,26.98,3,0.589,20,0,0,1
1214,48,8.0,68.0,1,0.848,5,1,0,0
1215,3,12.0,40.66,0,0.366,13,0,1,0
1216,20,10.0,18.88,0,-0.101,21,0,0,0
1217,24,14.0,6.69,0,-0.014,2,0,0,0
1218,54,14.0,117.57,2,-0.591,1,1,0,0
1219,33,9.0,9.94,3,-0.227,8,0,1,0
1220,24,3.9,2.85,3,-0.672,10,1,0,1
1221,36,22.0,14.43,1,-0.053,5,0,0,0
1222,38,17.0,0.15,3,0.292,18,0,0,0
1223,25,15.0,4.48,2,-0.487,23,1,0,0
1224,18,6.3,33.75,3,0.888,2,0,0,1
1225,66,10.9,12.83,6,0.294,22,1,1,1
1226,54,7.0,12.94,3,-0.56,9,0,0,1
1227,35,13.0,108.22,0,-0.666,16,0,0,0
1228,61,6.4,50.94,3,-0.66,20,0,0,1
1229,41,17.0,40.67,0,0.948,21,0,0,0
1230,33,18.0,56.96,1,-0.527,17,0,0,0
1231,68,12.0,5.38,2,-0.663,16,1,0,0
1232,33,24.0,86.03,0,-0.672,1,0,0,0
1233,14,13.0,43.56,0,-0.311,5,1,0,0
1234,21,10.0,50.77,2,0.231,19,0,0,0
1235,48,4.2,37.35,4,-0.842,18,0,0,1
1236,20,5.7,26.14,4,-0.681,23,0,0,1
1237,8,17.0,44.25,2,0.953,20,0,0,0
1238,7,11.0,41.55,5,0.236,3,0,0,0
1239,67,8.2,30.23,3,-0.721,18,0,1,1
1240,17,21.0,83.23,0,0.1,11,0,0,0
1241,33,7.0,33.43,0,-0.518,11,1,1,0
1242,48,21.0,0.17,0,0.947,11,0,0,0
1243,59,19.0,56.81,0,-0.222,10,0,0,0
1244,22,15.0,183.03,2,-0.715,10,0,0,0
1245,30,19.0,17.82,1,0.226,4,0,1,0
1246,38,4.4,62.89,3,-0.725,9,0,0,1
1247,51,20.0,36.47,1,0.036,10,0,0,0
1248,54,14.0,61.8,1,0.704,13,1,0,0
1249,8,17.0,132.91,0,-0.309,23,0,0,0
1250,27,14.0,88.45,2,-0.045,1,1,0,0
1251,27,15.0,129.55,1,-0.783,16,1,1,0
1252,21,14.0,0.57,0,0.293,19,0,0,0
1253,30,10.2,9.65,6,-0.776,12,0,1,1
1254,28,17.0,33.05,0,-0.346,5,0,2,0
1255,64,21.0,112.97,0,0.682,23,0,0,0
1256,69,16.0,109.35,1,-0.7,5,0,0,0
1257,61,19.0,12.28,0,0.68,7,1,0,0
1258,48,17.0,9.21,3,0.261,12,1,1,0
1259,19,15.0,108.0,1,-0.718,14,0,0,0
1260,4,4.7,35.08,4,-0.663,1,0,0,1
1261,35,15.0,59.13,0,0.326,6,0,1,0
1262,64,13.1,64.15,3,0.458,18,1,1,1
1263,49,13.0,14.28,1,0.311,6,0,0,0
1264,17,12.0,8.8,0,0.428,19,0,0,0
1265,44,20.0,117.56,0,-0.277,12,0,1,0
1266,30,16.0,7.11,0,-0.997,18,0,0,0
1267,46,7.0,5.54,2,0.058,3,0,0,0
1268,6,16.0,19.47,0,0.189,11,0,0,0
1269,37,16.0,22.86,1,0.375,4,0,1,0
1270,24,17.0,16.56,1,-0.537,13,0,0,0
1271,46,14.0,81.2,2,-0.66,1,0,0,0
1272,53,10.0,217.51,2,0.661,20,0,1,0
1273,60,16.0,13.36,2,0.683,6,0,0,0
1274,63,13.0,91.35,0,0.975,21,1,1,0
1275,32,14.0,2.72,1,-0.32,14,0,0,0
1276,33,12.0,7.6,0,-0.882,21,0,0,0
1277,67,12.0,43.43,2,-0.048,9,0,0,0
1278,18,17.0,470.79,2,-0.041,9,0,0,0
1279,25,18.0,178.99,0,-0.927,7,0,0,0
1280,54,21.0,7.12,1,0.15,15,0,0,0
1281,58,9.0,16.44,0,-0.478,10,0,1,0
1282,67,11.0,174.9,2,-0.762,9,0,1,0
1283,46,15.0,9.8,2,0.21,24,0,3,0
1284,24,21.0,81.47,0,-0.435,24,0,0,0
1285,32,20.0,0.07,3,0.123,15,1,1,0
1286,47,4.9,34.33,3,-0.97,21,0,0,1
1287,23,17.0,40.94,0,-0.268,9,1,1,0
1288,66,10.0,38.21,0,0.731,24,0,0,0
1289,27,8.0,106.03,0,0.3,7,0,0,0
1290,2,19.0,5.05,0,0.735,24,0,1,0
1291,17,15.0,28.42,0,0.481,23,1,1,0
1292,33,12.0,35.44,1,0.439,8,0,0,0
1293,9,13.0,7.94,0,0.74,2,0,0,0
1294,43,16.0,5.37,0,-0.961,3,0,0,0
1295,48,14.0,11.88,1,-0.16,22,0,0,0
1296,39,19.0,16.55,0,0.921,22,0,0,0
1297,42,19.0,202.99,0,-0.646,23,0,1,0
1298,26,18.0,38.73,0,0.307,2,1,1,0
1299,50,16.0,42.84,0,0.58,1,1,0,0
1300,25,18.0,73.65,1,0.867,12,0,0,0
1301,24,14.0,69.17,0,0.744,5,0,0,0
1302,13,5.7,22.21,6,0.353,18,0,0,1
1303,60,13.0,24.92,0,0.422,19,1,0,0
1304,7,19.0,24.12,1,-0.314,2,0,1,0
1305,57,8.7,2.3,4,-0.552,16,1,0,1
1306,36,12.0,137.93,0,0.917,23,1,0,0
1307,45,8.0,88.02,1,0.951,6,0,0,0
1308,20,23.0,58.59,1,-0.151,24,0,0,0
1309,65,18.0,30.26,0,-0.178,3,1,0,0
1310,8,18.0,52.4,1,-0.097,8,0,0,0
1311,16,19.0,39.83,0,-0.077,4,0,0,0
1312,14,18.0,19.21,2,0.684,18,0,0,0
1313,15,15.0,21.28,0,-0.139,20,0,1,0
1314,66,12.0,124.52,2,0.765,4,0,0,0
1315,32,17.0,60.46,5,0.39,8,0,1,0
1316,63,15.0,0.09,3,0.931,24,0,0,0
